year,origin_location_code,asylum_location_code,age_range,population
2002,AFG,MDA,12-17,0
2002,AFG,MDA,18-59,12
2002,AFG,MDA,5-11,0
2002,AFG,MDA,60+,0
2002,AFG,MDA,all,24
2002,AFG,MEX,0-4,0
2002,AFG,MEX,12-17,0
2002,AFG,MEX,18-59,7
2002,AFG,MEX,5-11,0
2002,AFG,MEX,60+,0
2002,AFG,MEX,all,14
2002,AFG,MLT,0-4,0
2002,AFG,MLT,12-17,0
2002,AFG,MLT,18-59,0
2002,AFG,MLT,5-11,0
2002,AFG,MLT,60+,0
2002,AFG,MLT,all,8
2002,AFG,MYS,0-4,5
2002,AFG,MYS,12-17,0
2002,AFG,MYS,18-59,24
2002,AFG,MYS,5-11,7
2002,AFG,MYS,60+,0
2002,AFG,MYS,all,85
2002,AFG,NLD,0-4,0
2002,AFG,NLD,12-17,0
2002,AFG,NLD,18-59,0
2002,AFG,NLD,5-11,0
2002,AFG,NLD,60+,0
2002,AFG,NLD,all,31707
2002,AFG,NOR,0-4,0
2002,AFG,NOR,12-17,0
2002,AFG,NOR,18-59,0
2002,AFG,NOR,5-11,0
2002,AFG,NOR,60+,0
2002,AFG,NOR,all,2284
2002,AFG,NZL,0-4,0
2002,AFG,NZL,12-17,0
2002,AFG,NZL,18-59,0
2002,AFG,NZL,5-11,0
2002,AFG,NZL,60+,0
2002,AFG,NZL,all,562
2002,AFG,OMN,0-4,0
2002,AFG,OMN,12-17,0
2002,AFG,OMN,18-59,16
2002,AFG,OMN,5-11,0
2002,AFG,OMN,60+,0
2002,AFG,OMN,all,32
2002,AFG,PAK,0-4,198728
2002,AFG,PAK,12-17,243922
2002,AFG,PAK,18-59,456916
2002,AFG,PAK,5-11,284574
2002,AFG,PAK,60+,42429
2002,AFG,PAK,all,2453138
2002,AFG,POL,0-4,0
2002,AFG,POL,12-17,0
2002,AFG,POL,18-59,0
2002,AFG,POL,5-11,0
2002,AFG,POL,60+,0
2002,AFG,POL,all,317
2002,AFG,PRT,0-4,0
2002,AFG,PRT,12-17,0
2002,AFG,PRT,18-59,0
2002,AFG,PRT,5-11,0
2002,AFG,PRT,60+,0
2002,AFG,PRT,all,5
2002,AFG,QAT,0-4,0
2002,AFG,QAT,12-17,0
2002,AFG,QAT,18-59,40
2002,AFG,QAT,5-11,0
2002,AFG,QAT,60+,0
2002,AFG,QAT,all,80
2002,AFG,ROU,0-4,0
2002,AFG,ROU,12-17,0
2002,AFG,ROU,18-59,0
2002,AFG,ROU,5-11,0
2002,AFG,ROU,60+,0
2002,AFG,ROU,all,295
2002,AFG,RUS,0-4,0
2002,AFG,RUS,12-17,0
2002,AFG,RUS,18-59,0
2002,AFG,RUS,5-11,0
2002,AFG,RUS,60+,0
2002,AFG,RUS,all,102034
2002,AFG,SAU,0-4,6
2002,AFG,SAU,12-17,21
2002,AFG,SAU,18-59,63
2002,AFG,SAU,5-11,19
2002,AFG,SAU,60+,10
2002,AFG,SAU,all,294
2002,AFG,SRB,0-4,0
2002,AFG,SRB,12-17,0
2002,AFG,SRB,18-59,0
2002,AFG,SRB,5-11,0
2002,AFG,SRB,60+,0
2002,AFG,SRB,all,20
2002,AFG,SVK,0-4,0
2002,AFG,SVK,12-17,0
2002,AFG,SVK,18-59,0
2002,AFG,SVK,5-11,0
2002,AFG,SVK,60+,0
2002,AFG,SVK,all,735
2002,AFG,SWE,0-4,0
2002,AFG,SWE,12-17,0
2002,AFG,SWE,18-59,0
2002,AFG,SWE,5-11,0
2002,AFG,SWE,60+,0
2002,AFG,SWE,all,3713
2002,AFG,SYR,0-4,41
2002,AFG,SYR,12-17,90
2002,AFG,SYR,18-59,171
2002,AFG,SYR,5-11,105
2002,AFG,SYR,60+,21
2002,AFG,SYR,all,856
2002,AFG,THA,0-4,0
2002,AFG,THA,12-17,5
2002,AFG,THA,18-59,9
2002,AFG,THA,5-11,0
