year,origin_location_code,asylum_location_code,population
2011,AFG,IRN,841714
2011,AFG,ISL,33
2011,AFG,ITA,4291
2011,AFG,JOR,81
2011,AFG,JPN,85
2011,AFG,KAZ,1766
2011,AFG,KGZ,1644
2011,AFG,KOR,222
2011,AFG,LBN,57
2011,AFG,LKA,18
2011,AFG,LTU,203
2011,AFG,LVA,78
2011,AFG,MAR,24
2011,AFG,MDA,63
2011,AFG,MEX,5
2011,AFG,MKD,621
2011,AFG,MYS,1308
2011,AFG,NLD,7170
2011,AFG,NOR,7411
2011,AFG,NZL,59
2011,AFG,PAK,5110464
2011,AFG,PAN,15
2011,AFG,POL,102
2011,AFG,PRT,10
2011,AFG,ROU,162
2011,AFG,RUS,2084
2011,AFG,SAU,21
2011,AFG,SRB,522
2011,AFG,SVK,373
2011,AFG,SVN,87
2011,AFG,SWE,8824
2011,AFG,SYR,5877
2011,AFG,TJK,5581
2011,AFG,TKM,93
2011,AFG,TUR,15231
2011,AFG,UKR,4623
2011,AFG,USA,1210
2011,AFG,UZB,633
2011,AFG,VEN,15
2011,AFG,ZAF,18
2011,IRN,AFG,177
2011,IRQ,AFG,15
2011,PAK,AFG,3111
2012,AFG,AFG,2638128
2012,AFG,ARE,18
2012,AFG,AUS,8266
2012,AFG,AUT,16361
2012,AFG,AZE,1854
2012,AFG,BEL,4445
2012,AFG,BGR,368
2012,AFG,BLR,1347
2012,AFG,BRA,84
2012,AFG,CAN,4446
2012,AFG,CHE,12282
2012,AFG,CHL,12
2012,AFG,CHN,21
2012,AFG,CIV,39
2012,AFG,CYP,57
2012,AFG,CZE,496
2012,AFG,DEU,138309
2012,AFG,DNK,2876
2012,AFG,ECU,354
2012,AFG,EGY,27
2012,AFG,ESP,127
2012,AFG,EST,42
2012,AFG,FIN,1292
2012,AFG,FJI,21
2012,AFG,FRA,5775
2012,AFG,GBR,11107
2012,AFG,GEO,15
2012,AFG,GRC,343
2012,AFG,HKG,36
2012,AFG,HRV,441
2012,AFG,HUN,1131
2012,AFG,IDN,11655
2012,AFG,IND,30612
2012,AFG,IRL,391
2012,AFG,IRN,880652
2012,AFG,IRQ,99
2012,AFG,ISL,41
2012,AFG,ITA,6220
2012,AFG,JOR,72
2012,AFG,JPN,68
2012,AFG,KAZ,1680
2012,AFG,KGZ,1581
2012,AFG,KOR,96
2012,AFG,LBN,84
2012,AFG,LKA,15
2012,AFG,LTU,240
2012,AFG,LVA,85
2012,AFG,MDA,42
2012,AFG,MEX,6
2012,AFG,MKD,648
2012,AFG,MNG,15
2012,AFG,MYS,1392
2012,AFG,NLD,7599
2012,AFG,NOR,7900
2012,AFG,NRU,198
2012,AFG,NZL,45
2012,AFG,PAK,4922880
2012,AFG,PHL,15
2012,AFG,PNG,13
2012,AFG,POL,144
2012,AFG,PRT,11
2012,AFG,ROU,173
2012,AFG,RUS,2740
2012,AFG,SAU,21
2012,AFG,SRB,243
2012,AFG,SVK,387
2012,AFG,SVN,108
2012,AFG,SWE,10807
2012,AFG,SYR,5787
2012,AFG,THA,24
2012,AFG,TJK,8496
2012,AFG,TKM,57
2012,AFG,TUR,34827
2012,AFG,UKR,7153
2012,AFG,USA,1147
2012,AFG,UZB,519
2012,AFG,VEN,15
2012,AFG,ZAF,20
2012,IRN,AFG,147
2012,PAK,AFG,16328
2013,AFG,AFG,826458
2013,AFG,AUS,9307
2013,AFG,AUT,18154
2013,AFG,AZE,2025
2013,AFG,BEL,6544
2013,AFG,BGR,2020
2013,AFG,BIH,18
2013,AFG,BLR,1332
2013,AFG,BRA,144
2013,AFG,CAN,4637
2013,AFG,CHE,13436
2013,AFG,CHL,14
2013,AFG,CHN,21
2013,AFG,CYP,30
2013,AFG,CZE,248
2013,AFG,DEU,121053
2013,AFG,DNK,2348
2013,AFG,ECU,351
2013,AFG,EGY,87
2013,AFG,ESP,192
2013,AFG,EST,45
2013,AFG,FIN,1447
2013,AFG,FJI,21
2013,AFG,FRA,7027
2013,AFG,GBR,10596
2013,AFG,GEO,15
2013,AFG,GRC,4025
2013,AFG,HKG,30
2013,AFG,HRV,93
2013,AFG,HUN,1446
2013,AFG,IDN,11802
2013,AFG,IND,34131
2013,AFG,IRL,560
2013,AFG,IRN,869888
2013,AFG,IRQ,384
2013,AFG,ISL,21
2013,AFG,ITA,7681
2013,AFG,JOR,57
2013,AFG,JPN,68
2013,AFG,KAZ,1707
2013,AFG,KEN,15
2013,AFG,KGZ,1656
2013,AFG,KOR,84
2013,AFG,LBN,105
2013,AFG,LKA,69
2013,AFG,LTU,282
2013,AFG,LUX,34
2013,AFG,LVA,70
2013,AFG,MDA,66
2013,AFG,MEX,6
2013,AFG,MKD,1083
2013,AFG,MYS,975
2013,AFG,NGA,15
2013,AFG,NLD,6269
2013,AFG,NOR,6395
2013,AFG,NPL,42
2013,AFG,NRU,72
2013,AFG,NZL,32
2013,AFG,PAK,4863597
2013,AFG,PAN,27
2013,AFG,PHL,15
2013,AFG,PNG,51
2013,AFG,POL,137
2013,AFG,PRT,9
2013,AFG,ROU,167
2013,AFG,RUS,1573
2013,AFG,SAU,21
2013,AFG,SRB,63
2013,AFG,SVK,304
2013,AFG,SVN,71
2013,AFG,SWE,12197
2013,AFG,SYR,3897
2013,AFG,THA,54
2013,AFG,TJK,4463
2013,AFG,TKM,57
2013,AFG,TUR,45338
2013,AFG,UKR,5451
2013,AFG,USA,1309
2013,AFG,UZB,404
2013,AFG,VEN,15
2013,AFG,ZAF,20
2013,IRN,AFG,156
2013,PAK,AFG,17028
2014,AFG,AFG,603852
2014,AFG,ARE,15
2014,AFG,ARG,15
2014,AFG,AUS,9022
2014,AFG,AUT,14793
2014,AFG,AZE,2014
2014,AFG,BEL,5803
2014,AFG,BGR,5478
2014,AFG,BIH,21
2014,AFG,BLR,1257
2014,AFG,BRA,210
2014,AFG,CAN,4044
2014,AFG,CHE,13977
2014,AFG,CHL,14
2014,AFG,CHN,21
2014,AFG,CUB,33
2014,AFG,CYP,20
2014,AFG,CZE,235
2014,AFG,DEU,140511
2014,AFG,DNK,2274
2014,AFG,DOM,15
2014,AFG,ECU,112
2014,AFG,EGY,75
2014,AFG,ESP,275
2014,AFG,EST,45
2014,AFG,FIN,1576
2014,AFG,FJI,21
2014,AFG,FRA,8100
2014,AFG,GBR,10948
2014,AFG,GEO,45
2014,AFG,GRC,2225
2014,AFG,HKG,30
2014,AFG,HRV,81
2014,AFG,HUN,3442
2014,AFG,IDN,17565
2014,AFG,IND,35100
2014,AFG,IRL,287
2014,AFG,IRN,1008475
2014,AFG,IRQ,408
2014,AFG,ISL,21
2014,AFG,ITA,10769
2014,AFG,JOR,57
2014,AFG,JPN,82
2014,AFG,KAZ,1806
2014,AFG,KEN,15
2014,AFG,KGZ,1557
2014,AFG,KOR,147
2014,AFG,LBN,114
2014,AFG,LKA,366
2014,AFG,LTU,380
2014,AFG,LUX,104
2014,AFG,LVA,120
2014,AFG,MDA,69
2014,AFG,MEX,6
2014,AFG,MKD,1674
2014,AFG,MYS,1188
2014,AFG,NGA,15
2014,AFG,NLD,6543
2014,AFG,NOR,6006
2014,AFG,NPL,201
2014,AFG,NRU,81
2014,AFG,NZL,36
2014,AFG,PAK,4531116
2014,AFG,PAN,24
2014,AFG,PHL,15
2014,AFG,PNG,96
2014,AFG,POL,98
2014,AFG,PRT,10
2014,AFG,ROU,438
2014,AFG,RUS,1299
2014,AFG,RWA,18
2014,AFG,SAU,21
2014,AFG,SEN,27
2014,AFG,SRB,174
2014,AFG,SVK,278
2014,AFG,SVN,102
2014,AFG,SWE,14353
2014,AFG,SYR,4395
2014,AFG,THA,159
2014,AFG,TJK,2903
2014,AFG,TKM,57
2014,AFG,TUR,103760
2014,AFG,UKR,6338
2014,AFG,USA,1622
2014,AFG,UZB,369
2014,AFG,VEN,15
2014,AFG,ZAF,25
2014,IRN,AFG,171
2014,PAK,AFG,860942
