asylum_location_code,gender,age_range,population,year
ECU,m,5-11,0,2020
ECU,m,12-17,0,2020
ECU,m,18-59,5,2020
ECU,m,60+,0,2020
ECU,f,0-4,0,2020
ECU,f,5-11,5,2020
ECU,f,12-17,5,2020
ECU,f,18-59,54,2020
ECU,f,60+,6,2020
ECU,m,0-4,0,2020
ECU,m,5-11,7,2020
ECU,m,12-17,8,2020
ECU,m,18-59,54,2020
ECU,m,60+,7,2020
EGY,f,0-4,5,2020
EGY,f,5-11,6,2020
EGY,f,12-17,0,2020
EGY,f,18-59,11,2020
EGY,f,60+,0,2020
EGY,m,0-4,0,2020
EGY,m,5-11,5,2020
EGY,m,12-17,5,2020
EGY,m,18-59,12,2020
EGY,m,60+,0,2020
EGY,f,0-4,0,2020
EGY,f,5-11,5,2020
EGY,f,12-17,0,2020
EGY,f,18-59,8,2020
EGY,f,60+,0,2020
EGY,m,0-4,5,2020
EGY,m,5-11,0,2020
EGY,m,12-17,8,2020
EGY,m,18-59,8,2020
EGY,m,60+,0,2020
ESP,f,0-4,0,2020
ESP,f,5-11,0,2020
ESP,f,12-17,0,2020
ESP,f,18-59,0,2020
ESP,f,60+,0,2020
ESP,m,0-4,0,2020
ESP,m,5-11,0,2020
ESP,m,12-17,0,2020
ESP,m,18-59,0,2020
ESP,m,60+,0,2020
ESP,f,0-4,0,2020
ESP,f,5-11,0,2020
ESP,f,12-17,0,2020
ESP,f,18-59,0,2020
ESP,f,60+,0,2020
ESP,m,0-4,0,2020
ESP,m,5-11,0,2020
ESP,m,12-17,0,2020
ESP,m,18-59,0,2020
ESP,m,60+,0,2020
FIN,f,0-4,0,2020
FIN,f,5-11,0,2020
FIN,f,12-17,0,2020
FIN,f,18-59,0,2020
FIN,f,60+,0,2020
FIN,m,0-4,0,2020
FIN,m,5-11,0,2020
FIN,m,12-17,0,2020
FIN,m,18-59,0,2020
FIN,m,60+,0,2020
FIN,f,0-4,0,2020
FIN,f,5-11,0,2020
FIN,f,12-17,0,2020
FIN,f,18-59,0,2020
FIN,f,60+,0,2020
FIN,m,0-4,0,2020
FIN,m,5-11,0,2020
FIN,m,12-17,0,2020
FIN,m,18-59,0,2020
FIN,m,60+,0,2020
