year,origin_location_code,asylum_location_code,population_group,population
2005,AFG,DEU,ASY,5081
2005,AFG,DEU,REF,31055
2005,AFG,DNK,ASY,80
2005,AFG,DNK,REF,6381
2005,AFG,ECU,REF,29
2005,AFG,EGY,REF,93
2005,AFG,ESP,REF,87
2005,AFG,FIN,REF,1604
2005,AFG,FRA,REF,2456
2005,AFG,GBR,REF,22532
2005,AFG,GEO,REF,15
2005,AFG,GRC,ASY,1677
2005,AFG,GRC,REF,181
2005,AFG,HUN,ASY,9
2005,AFG,HUN,REF,2376
2005,AFG,IDN,ASY,15
2005,AFG,IDN,OOC,180
2005,AFG,IDN,REF,39
2005,AFG,IND,ASY,60
2005,AFG,IND,REF,29100
2005,AFG,IRL,REF,77
2005,AFG,IRN,ASY,168
2005,AFG,IRN,REF,2760744
2005,AFG,ITA,REF,302
2005,AFG,JPN,ASY,29
2005,AFG,JPN,REF,112
2005,AFG,KAZ,REF,2280
2005,AFG,KGZ,ASY,351
2005,AFG,KGZ,REF,753
2005,AFG,KWT,ASY,141
2005,AFG,KWT,REF,234
2005,AFG,LBN,REF,39
2005,AFG,LKA,REF,15
2005,AFG,LTU,ASY,5
2005,AFG,LTU,REF,96
2005,AFG,MDA,ASY,15
2005,AFG,MDA,REF,24
2005,AFG,MLT,REF,8
2005,AFG,MYS,ASY,99
2005,AFG,MYS,REF,153
2005,AFG,NLD,ASY,1478
2005,AFG,NLD,REF,25086
2005,AFG,NOR,REF,4052
2005,AFG,NZL,ASY,5
2005,AFG,NZL,REF,1261
2005,AFG,PAK,ASY,2765
2005,AFG,PAK,REF,2168416
2005,AFG,POL,REF,87
2005,AFG,PRT,REF,5
2005,AFG,QAT,REF,120
2005,AFG,ROU,REF,306
2005,AFG,RUS,ASY,225
2005,AFG,RUS,OOC,100000
2005,AFG,RUS,REF,1294
2005,AFG,SAU,ASY,18
2005,AFG,SVK,ASY,344
2005,AFG,SVK,REF,186
2005,AFG,SWE,ASY,699
2005,AFG,SWE,REF,4264
2005,AFG,SYR,ASY,324
2005,AFG,SYR,REF,687
2005,AFG,THA,REF,15
2005,AFG,TJK,ASY,22
2005,AFG,TJK,REF,2012
2005,AFG,TKM,REF,2247
2005,AFG,TUR,ASY,768
2005,AFG,TUR,REF,228
2005,AFG,UKR,ASY,652
2005,AFG,UKR,REF,3639
2005,AFG,USA,ASY,100
2005,AFG,USA,REF,8831
2005,AFG,UZB,ASY,1602
2005,AFG,UZB,REF,8350
2005,AFG,ZAF,ASY,19
2005,AFG,ZAF,REF,18
2005,IRN,AFG,ASY,10
2005,IRN,AFG,REF,62
2005,PAK,AFG,ASY,14
2006,AFG,ARE,REF,15
2006,AFG,AUS,ASY,15
2006,AFG,AUS,REF,7908
2006,AFG,AUT,ASY,1575
2006,AFG,AUT,REF,3664
2006,AFG,AZE,ASY,89
2006,AFG,AZE,OOC,1116
2006,AFG,AZE,REF,312
2006,AFG,BEL,ASY,17
2006,AFG,BEL,REF,452
2006,AFG,BGR,ASY,687
2006,AFG,BGR,REF,1967
2006,AFG,BLR,ASY,27
2006,AFG,BLR,REF,1473
2006,AFG,BRA,REF,10
2006,AFG,CAN,ASY,583
2006,AFG,CAN,REF,14419
2006,AFG,CHE,ASY,189
2006,AFG,CHE,REF,3452
2006,AFG,CHL,REF,51
2006,AFG,CHN,REF,21
2006,AFG,CIV,REF,42
2006,AFG,CUB,ASY,15
2006,AFG,CYP,ASY,134
2006,AFG,CYP,REF,10
2006,AFG,CZE,REF,237
2006,AFG,DEU,ASY,3999
2006,AFG,DEU,REF,21879
2006,AFG,DNK,ASY,61
2006,AFG,DNK,REF,6306
2006,AFG,ECU,REF,32
2006,AFG,EGY,REF,93
2006,AFG,ESP,REF,74
2006,AFG,FIN,ASY,59
2006,AFG,FIN,REF,1883
2006,AFG,FRA,REF,2476
2006,AFG,GBR,REF,23069
2006,AFG,GEO,REF,15
2006,AFG,GRC,ASY,1494
2006,AFG,GRC,REF,171
2006,AFG,HUN,ASY,5
2006,AFG,HUN,REF,2357
2006,AFG,IDN,ASY,30
2006,AFG,IDN,REF,195
2006,AFG,IND,ASY,411
2006,AFG,IND,REF,28416
2006,AFG,IRL,ASY,112
2006,AFG,IRL,REF,99
2006,AFG,IRN,ASY,1578
2006,AFG,IRN,REF,2742780
2006,AFG,ITA,REF,473
2006,AFG,JPN,ASY,5
2006,AFG,JPN,REF,110
2006,AFG,KAZ,ASY,42
2006,AFG,KAZ,REF,1764
2006,AFG,KGZ,ASY,603
2006,AFG,KGZ,REF,768
2006,AFG,KWT,ASY,132
2006,AFG,LBN,REF,18
2006,AFG,LKA,REF,15
2006,AFG,LTU,REF,96
2006,AFG,MDA,REF,36
2006,AFG,MLT,REF,8
2006,AFG,MYS,ASY,90
2006,AFG,MYS,REF,165
2006,AFG,NLD,ASY,1293
2006,AFG,NLD,REF,21357
2006,AFG,NOR,ASY,787
2006,AFG,NOR,REF,4084
2006,AFG,NZL,REF,961
2006,AFG,PAK,ASY,6273
2006,AFG,PAK,REF,2087968
2006,AFG,POL,REF,79
2006,AFG,PRT,REF,5
2006,AFG,QAT,REF,120
2006,AFG,ROU,REF,292
2006,AFG,RUS,ASY,230
2006,AFG,RUS,OOC,100000
2006,AFG,RUS,REF,1202
2006,AFG,SAU,ASY,30
2006,AFG,SVK,ASY,330
2006,AFG,SVK,REF,93
2006,AFG,SWE,ASY,591
2006,AFG,SWE,REF,4278
2006,AFG,SYR,ASY,1065
2006,AFG,SYR,REF,897
2006,AFG,TJK,ASY,238
2006,AFG,TJK,REF,1879
2006,AFG,TKM,REF,2130
2006,AFG,TUR,ASY,1014
2006,AFG,TUR,REF,225
2006,AFG,UKR,ASY,343
2006,AFG,UKR,REF,2378
2006,AFG,USA,ASY,106
2006,AFG,USA,REF,13242
2006,AFG,UZB,REF,1415
2006,AFG,ZAF,REF,18
2006,IRN,AFG,ASY,15
2006,IRN,AFG,REF,102
2007,AFG,ARE,REF,15
2007,AFG,AUS,ASY,12
2007,AFG,AUS,REF,4990
2007,AFG,AUT,ASY,1544
2007,AFG,AUT,REF,4191
2007,AFG,AZE,ASY,129
2007,AFG,AZE,OOC,1233
2007,AFG,AZE,REF,324
2007,AFG,BEL,REF,302
2007,AFG,BGR,ASY,534
2007,AFG,BGR,REF,1990
2007,AFG,BLR,ASY,5
2007,AFG,BLR,REF,1362
2007,AFG,BRA,REF,15
2007,AFG,CAN,ASY,1203
2007,AFG,CAN,REF,3470
2007,AFG,CHE,ASY,753
2007,AFG,CHE,REF,3988
2007,AFG,CHL,REF,51
2007,AFG,CHN,REF,21
2007,AFG,CIV,REF,42
2007,AFG,CYP,ASY,107
2007,AFG,CYP,REF,5
2007,AFG,CZE,ASY,16
2007,AFG,CZE,REF,242
2007,AFG,DEU,ASY,2223
2007,AFG,DEU,REF,24236
2007,AFG,DNK,ASY,58
2007,AFG,DNK,REF,5378
2007,AFG,ECU,ASY,65
2007,AFG,ECU,REF,212
2007,AFG,EGY,REF,84
2007,AFG,ESP,REF,69
2007,AFG,EST,REF,18
2007,AFG,FIN,ASY,44
2007,AFG,FIN,REF,517
2007,AFG,FRA,REF,2546
2007,AFG,GBR,REF,23565
2007,AFG,GEO,REF,15
2007,AFG,GRC,ASY,1061
2007,AFG,GRC,REF,174
2007,AFG,HKG,ASY,15
2007,AFG,HUN,ASY,19
2007,AFG,HUN,REF,2293
2007,AFG,IDN,ASY,36
2007,AFG,IDN,REF,147
2007,AFG,IND,ASY,2070
2007,AFG,IND,REF,27033
2007,AFG,IRL,ASY,118
2007,AFG,IRL,REF,106
2007,AFG,IRN,ASY,1934
2007,AFG,IRN,REF,1812142
2007,AFG,ITA,REF,1138
2007,AFG,JPN,ASY,10
2007,AFG,JPN,REF,112
2007,AFG,KAZ,ASY,15
2007,AFG,KAZ,REF,1212
2007,AFG,KGZ,ASY,1032
2007,AFG,KGZ,REF,831
2007,AFG,KWT,ASY,63
2007,AFG,KWT,REF,15
